model_id,model_make_id,model_name,model_trim,model_year,model_body_style,model_engine_position,model_engine_cc,model_engine_num_cyl,model_engine_type,mode_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display
13563,ford,F-250,5.4,2003,Pickup,Front,5408,8,V,3,300,5000,495,3750,90,106,,Gasoline,,,Rear,Manual,3,2,2410,5760,2040,1940,3490,,,,144,1,,Ford
13564,ford,Tempo,3,1994,,Front,2986,6,in-line,,136,4800,203,3250,,,,Gasoline,,,Front,Manual,5,,1195,4480,1690,1340,2540,,,,,1,,Ford
13565,ford,Freestyle,SEL AWD,2006,Crossover,Front,2983,6,V,,206,5750,281,4500,,,,,,,4WD,,6,5,2856,5080,1900,1680,2870,9.8,11.2,12.4,72,1,,Ford
13566,ford,Mustang,GT Coupe,2009,Coupe,Front,4604,8,V,3,304,5750,434,4500,,,10.0:1,Gasoline,,,Rear,Manual,4,2,966,4770,1880,1410,2730,10.2,13.1,15.7,61,1,,Ford
13567,ford,Escort,1.1 C Estate,1986,Station Wagon,Front,1115,4,in-line,,49,5000,83,2700,74,65,9.5:1,,145,,Front,Manual,5,5,870,4090,1650,1400,2410,,,,48,1,,Ford
13568,ford,Crown Victoria,,2006,Sedan,Front,4601,8,V,2,228,4800,369,4000,90.2,89.9,9.4:1,Gasoline,,,Rear,Automatic,5,4,1840,5390,2000,1490,2920,,11.8,13.8,72,1,,Ford
13569,ford,Capri,III 2.3,1978,Coupe,Front,2294,6,V,,,,,,,,,Gasoline,,,Rear,Manual,4,2,1105,4380,1710,1370,2570,,,,,1,,Ford
13570,ford,Aerostar,,1990,Minivan,Front,2977,6,V,,145,4800,224,3600,88.9,78.7,,Gasoline,,,Rear,,,4,1410,4450,1830,1860,3030,,,,,1,,Ford
13571,ford,Thunderbird,Premium,2005,,Front,3933,8,V,4,284,6000,388,,86,85,10.8:1,,,,Rear,,2,2,1752,4740,1840,1330,2730,9.8,11.8,13.1,70,1,,Ford
13572,ford,Galaxy,,1997,Minivan,Front,1998,4,in-line,,120,5500,172,2300,83,92,9.0:1,Gasoline,,,Front,Manual,7,5,1679,4620,1820,1740,2830,,,,,0,,Ford
13573,ford,Focus,Clipper,2001,Sedan,Front,1388,4,in-line,4,74,5300,125,3500,76,76.5,11.0:1,Gasoline,,,Front,Manual,5,4,1190,4450,1710,1490,2620,,,,55,1,,Ford
13574,ford,Taunus,17 M,1961,,Front,1497,4,in-line,2,54,4250,111,2400,,,7.1:1,Gasoline,,,Rear,,5,4,960,4460,1680,1460,2640,,,,50,1,,Ford
13575,ford,Ranger,Super Cab,2008,Pickup,Front,2970,6,V,2,150,4900,245,3950,,,,,,,Rear,Manual,3,5,1107,5160,1770,1690,3200,10.7,6.1,14.7,74,1,,Ford
13576,ford,Mondeo,2.5 V6 Trend,2007,Sedan,Front,2495,6,V,4,170,6000,220,4250,81.7,79.5,10.0:1,Gasoline - Premium,,8.5,Front,,5,4,1450,4740,1820,1420,2760,,10.3,,59,0,,Ford
13577,ford,Vedette,,1955,,Front,2158,8,V,2,67,4400,122,2500,,,,Gasoline,,,Rear,Manual,,,1125,4680,1730,1530,2700,,,,,1,,Ford
13578,ford,F-150,Lightning,1999,Pickup,Front,5400,8,V,,365,6000,597,,,,,,223,,Rear,Automatic,3,3,1254,5140,2000,1850,3050,,,,70,1,,Ford
13579,ford,Granada,2.0i,1986,,Front,1993,4,in-line,,117,5500,160,4000,,,9.2:1,,183,,Rear,Manual,5,,1268,4680,1770,1400,2770,,,,45,1,,Ford
13580,ford,Escort,Turnier,1975,,Front,939,4,in-line,,46,6000,60,4500,,,,Gasoline,,,Rear,Manual,5,,875,3980,1600,1390,2410,,,,,1,,Ford
13581,ford,Capri,1.3,1978,Coupe,Front,1297,4,in-line,,57,5500,91,3000,79,66,,Gasoline,,,Rear,Manual,,2,990,4380,1700,1330,2570,,,,,1,,Ford
13582,ford,Escape,Hybrid,2009,SUV,Front,2486,4,in-line,4,153,6000,136,4500,,,12.3:1,Gasoline / Electric Hybrid,,,Front,Automatic,5,5,966,4440,1810,1730,2630,7.6,7.4,6.9,57,1,,Ford
13583,ford,Shelby GT 500,Coupe,2008,Coupe,Front,5409,8,V,4,507,6000,652,4500,,,,Gasoline,,,Rear,Manual,4,3,1077,4770,1890,1390,2730,,5.3,,61,1,,Ford
13584,ford,Mustang,2.3,1978,Coupe,Front,2300,4,in-line,,140,5400,197,3000,,,,Gasoline,,,Rear,,4,2,1215,4560,1720,1320,2560,,,,,1,,Ford
13585,ford,Zodiac,,1965,,Front,2553,6,in-line,2,109,4750,190,2900,82.6,79.5,8.3:1,Gasoline,,,Rear,Manual,5,4,1270,4650,1770,1450,2780,,,,45,1,,Ford
13586,ford,GT,,1983,Coupe,Front,2299,4,in-line,,132,5500,203,3500,,,,Gasoline,,,Rear,Manual,2,2,1130,4360,1710,1330,2590,,,,,1,,Ford
13587,ford,Freestyle,SE,2005,Crossover,Front,2982,6,V,4,206,6000,271,,89,79,10.0:1,,,,Front,,6,5,1796,5080,1900,1680,2760,8.7,10.2,11.8,72,1,,Ford
13588,ford,Tempo,2300,1987,,Front,2307,4,in-line,,90,4700,170,2700,,,,Gasoline,,,Front,Manual,,,1105,4480,1690,1340,2540,,,,,1,,Ford
